Old URL,New URL,Status,Suggested Link,Archive Link
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=asc&format=csv&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=asc&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=asc&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=asc&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=asc&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=desc&format=csv&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=desc&format=csv&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=desc&format=csv&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=desc&format=csv&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=desc&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=desc&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=desc&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/co?direction=desc&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=asc&format=csv&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=asc&format=csv&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=asc&format=csv&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=asc&format=csv&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=asc&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=asc&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=asc&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=asc&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=desc&format=csv&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=desc&format=csv&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=desc&format=csv&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=desc&format=csv&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=desc&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=desc&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=desc&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dclg?direction=desc&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=asc&format=csv&orderBy=body,,301,,
